city,country,year,city,country,avg_temp
Riyadh,Saudi Arabia,1994,Riyadh,Saudi Arabia,26.08
Riyadh,Saudi Arabia,1995,Riyadh,Saudi Arabia,25.64
Riyadh,Saudi Arabia,1996,Riyadh,Saudi Arabia,26.28
Riyadh,Saudi Arabia,1997,Riyadh,Saudi Arabia,25.49
Riyadh,Saudi Arabia,1998,Riyadh,Saudi Arabia,26.73
Riyadh,Saudi Arabia,1999,Riyadh,Saudi Arabia,26.92
Riyadh,Saudi Arabia,2000,Riyadh,Saudi Arabia,26.55
Riyadh,Saudi Arabia,2001,Riyadh,Saudi Arabia,26.67
Riyadh,Saudi Arabia,2002,Riyadh,Saudi Arabia,26.44
Riyadh,Saudi Arabia,2003,Riyadh,Saudi Arabia,26.62
Riyadh,Saudi Arabia,2004,Riyadh,Saudi Arabia,26.20
Riyadh,Saudi Arabia,2005,Riyadh,Saudi Arabia,26.27
Riyadh,Saudi Arabia,2006,Riyadh,Saudi Arabia,26.24
Riyadh,Saudi Arabia,2007,Riyadh,Saudi Arabia,26.49
Riyadh,Saudi Arabia,2008,Riyadh,Saudi Arabia,26.21
Riyadh,Saudi Arabia,2009,Riyadh,Saudi Arabia,26.71
Riyadh,Saudi Arabia,2010,Riyadh,Saudi Arabia,27.37
Riyadh,Saudi Arabia,2011,Riyadh,Saudi Arabia,26.40
Riyadh,Saudi Arabia,2012,Riyadh,Saudi Arabia,26.83
Riyadh,Saudi Arabia,2013,Riyadh,Saudi Arabia,27.78
